,RealCoupon,ModelCoupon,PercentError,,RealCoupon,ModelCoupon
2/4/2014,3.10507,3.229784884,0.040164919,2/3/2014,3.2711,3.293257152
2/3/2014,3.05023,3.186999949,0.044839225,1/31/2014,3.34068,3.361140068
1/31/2014,3.12776,3.2490545,0.03877999,1/30/2014,3.37103,3.380902759
1/30/2014,3.16893,3.266602914,0.030822048,1/29/2014,3.36115,3.352175074
1/29/2014,3.1604,3.238223056,0.024624432,1/28/2014,3.41467,3.399727076
1/28/2014,3.22649,3.282689886,0.017418274,1/27/2014,3.42489,3.399705242
1/27/2014,3.23738,3.280009714,0.013167967,1/24/2014,3.38218,3.371784171
1/24/2014,3.18552,3.252973137,0.021174922,1/23/2014,3.42598,3.406232501
1/23/2014,3.23313,3.286173423,0.016406214,1/22/2014,3.4813,3.480255688
1/22/2014,3.29342,3.354251888,0.018470735,1/21/2014,3.43062,3.439683022
1/21/2014,3.24262,3.318364213,0.023358954,1/17/2014,3.43708,3.447997258
1/17/2014,3.25748,3.326179557,0.021089786,1/16/2014,3.45706,3.461916104
1/16/2014,3.2792,3.340166242,0.018591803,1/15/2014,3.49478,3.49426512
1/15/2014,3.31805,3.37211127,0.016293085,1/14/2014,3.48341,3.472446279
1/14/2014,3.31382,3.353560104,0.011992234,1/13/2014,3.42646,3.418619029
1/13/2014,3.2432,3.303863064,0.018704694,1/10/2014,3.47184,3.467646007
1/10/2014,3.27474,3.349442263,0.022811662,1/9/2014,3.57494,3.587554989
1/9/2014,3.37422,3.462141881,0.02605695,1/8/2014,3.59637,3.605747569
1/8/2014,3.40084,3.482095076,0.023892649,1/7/2014,3.54285,3.552816818
1/7/2014,3.35888,3.435863431,0.022919375,1/6/2014,3.57635,3.586165233
1/6/2014,3.38872,3.469680323,0.023891122,1/3/2014,3.60326,3.621400559
1/3/2014,3.41805,3.504650818,0.025336323,1/2/2014,3.5997,3.622663801
1/2/2014,3.41183,3.509062163,0.028498537,12/30/2013,3.57467,3.605420259
12/30/2013,3.39161,3.493614497,0.030075539,12/27/2013,3.60938,3.624771203
12/27/2013,3.42153,3.512118001,0.026475875,12/26/2013,3.61108,3.637877401
12/26/2013,3.42175,3.522253971,0.029372096,12/24/2013,3.61006,3.63312578
12/24/2013,3.41817,3.518156741,0.029251541,12/23/2013,3.54225,3.588557637
12/23/2013,3.3598,3.477893544,0.03514898,12/20/2013,3.52072,3.547744936
12/20/2013,3.34289,3.441681644,0.029552766,12/19/2013,3.58946,3.579482442
12/19/2013,3.40281,3.474861889,0.021174232,12/18/2013,3.54228,3.521644704
12/18/2013,3.37771,3.425973365,0.014288783,12/17/2013,3.49989,3.490740477
12/17/2013,3.33503,3.3935092,0.017534835,12/16/2013,3.53072,3.531628007
12/16/2013,3.36612,3.4303043,0.01906774,12/13/2013,3.5291,3.529780273
12/13/2013,3.37412,3.428280406,0.016051713,12/12/2013,3.54275,3.541339936
12/12/2013,3.38883,3.440664291,0.01529563,12/11/2013,3.51569,3.508214147
12/11/2013,3.36842,3.411118965,0.012676259,12/10/2013,3.46476,3.469707
12/10/2013,3.32019,3.374364056,0.016316553,12/9/2013,3.50449,3.515066749
12/9/2013,3.36585,3.419069853,0.015811713,12/6/2013,3.53577,3.545410941
