asOfDate,4y7y_ATM,5y7y_ATM,3y7y_ATM,5y10y_ATM
5/17/2013,92.67675135,94.17054599,89.2927025,91.7440628
5/16/2013,92.27919384,94.14147886,88.53461397,91.67209349
5/15/2013,92.28709456,94.14623925,88.46265077,91.70550867
5/14/2013,92.36007658,94.38845825,88.43316409,91.90189588
5/13/2013,92.20864432,94.44492511,88.08516599,91.70480547
5/10/2013,91.89492752,94.271447,87.64039543,91.59223706
5/9/2013,91.97147115,94.82125221,87.26108625,92.42284978
5/8/2013,92.55622594,95.48353115,87.67797305,93.11893436
5/7/2013,92.55690063,95.50466264,87.70121666,93.09989013
5/6/2013,92.51458827,95.45251506,87.67708925,93.10447388
5/3/2013,92.51100232,95.56539776,87.57165004,93.26582835
5/2/2013,91.9029166,95.2024711,86.70263563,93.02313855
5/1/2013,91.78185326,95.13076201,86.48204562,93.0222029
4/30/2013,91.76654269,95.13840342,86.59287796,93.01104918
4/29/2013,91.66637362,95.06516105,86.45243671,92.99861458
4/26/2013,91.68874726,95.05701819,86.44262022,92.94014146
4/25/2013,92.02885748,95.34327764,86.85637967,93.19294508
4/24/2013,92.2965511,95.64847914,86.98706185,93.52755299
4/23/2013,92.25982351,95.6633112,86.96218836,93.48926346
4/22/2013,92.4746541,95.91761193,87.14039174,93.52910623
4/19/2013,92.56459041,95.95432072,87.28690625,93.61070173
4/18/2013,91.79263076,95.43091041,86.59880384,93.1967615
4/17/2013,92.07222773,95.67883752,86.86087389,93.3261655
4/16/2013,92.18841801,95.85785353,86.97240353,93.41925714
4/15/2013,91.88168044,95.5758685,86.67536327,93.02050103
4/12/2013,92.19748773,95.86058328,86.98941,93.1064934
4/11/2013,92.03186382,95.12575557,87.40365172,92.47915622
4/10/2013,93.05122509,96.3081961,88.1591502,93.42916689
4/9/2013,92.48335155,95.67256534,87.72115321,92.97865392
4/8/2013,92.53369808,95.60858562,87.88646136,92.99641371
4/5/2013,92.07420004,95.19052617,87.40130751,92.74606002
4/4/2013,92.49768439,95.21263849,88.23329268,92.79620319
4/3/2013,92.96661996,95.57568612,88.70037768,93.04258927
4/2/2013,93.66437724,96.0684508,89.64798183,93.34233943
4/1/2013,93.54128661,95.97984556,89.50847246,93.37480046
3/28/2013,93.73352886,96.08801675,89.80841688,93.3936147
3/27/2013,93.77689656,96.02530247,89.92183971,93.35258619
3/26/2013,94.23328005,96.39599895,90.40354991,93.48019709
3/25/2013,94.48464485,96.5537821,90.78457002,93.65691819
3/22/2013,95.2189922,97.22766522,91.63849229,94.35266108
3/21/2013,95.54694308,97.5186463,92.00741462,94.53627464
3/20/2013,95.50104832,97.54604728,91.87571507,94.63279305
3/19/2013,95.39998337,97.3823473,91.82291719,94.50719336
3/18/2013,95.75048078,97.66117116,92.26642784,94.59737866
