"LoanID","Index","DelinqStatus","EndStatus"
"F100Q1002773",3,1,"btc"
"F100Q1002774",3,1,"btc"
"F100Q1002784",4,2,"btc"
"F100Q1002784",8,1,"btc"
"F100Q1002784",24,1,"btc"
"F100Q1002784",63,1,"btc"
"F100Q1002784",120,6,"btc"
"F100Q1002784",123,7,"btc"
"F100Q1002784",131,2,"btc"
"F100Q1002784",133,1,"btc"
"F100Q1002784",136,1,"btc"
"F100Q1002791",19,2,"btc"
"F100Q1002791",44,11,"btc"
"F100Q1002792",39,1,"btc"
"F100Q1002792",51,4,"btc"
"F100Q1002792",84,13,"btc"
"F100Q1002792",87,7,"btc"
"F100Q1002792",93,10,"btc"
"F100Q1002792",97,6,"btc"
"F100Q1002792",106,1,"btc"
"F100Q1002792",121,6,"btc"
"F100Q1002792",123,6,"btc"
"F100Q1002792",148,20,"btc"
"F100Q1002792",154,23,"btc"
"F100Q1002793",3,1,"btc"
"F100Q1002794",16,1,"btc"
"F100Q1002794",19,1,"btc"
"F100Q1002794",22,1,"btc"
"F100Q1002796",12,1,"btc"
"F100Q1002796",17,1,"btc"
"F100Q1002796",25,1,"btc"
"F100Q1002796",27,1,"btc"
"F100Q1002796",31,1,"btc"
"F100Q1002804",4,1,"btc"
"F100Q1002820",26,3,"btc"
"F100Q1002820",34,1,"btc"
"F100Q1002820",37,2,"btc"
"F100Q1002820",43,3,"btc"
"F100Q1002820",49,4,"btc"
"F100Q1002820",51,1,"btc"
"F100Q1002863",51,1,"btc"
"F100Q1002864",18,1,"btc"
"F100Q1002878",15,1,"btc"
"F100Q1002878",21,1,"btc"
"F100Q1002878",23,1,"btc"
"F100Q1002878",27,1,"btc"
"F100Q1002897",10,1,"btc"
"F100Q1002904",5,1,"btc"
"F100Q1002906",10,1,"btc"
"F100Q1002933",2,1,"btc"
"F100Q1002934",13,1,"btc"
"F100Q1002946",3,1,"btc"
"F100Q1002946",6,1,"btc"
"F100Q1002952",36,1,"btc"
"F100Q1002952",39,1,"btc"
"F100Q1002952",51,1,"btc"
"F100Q1002982",5,1,"btc"
"F100Q1002991",23,2,"btc"
"F100Q1002991",25,1,"btc"
"F100Q1002991",31,1,"btc"
"F100Q1002991",35,1,"btc"
"F100Q1002991",39,2,"btc"
"F100Q1002991",41,1,"btc"
"F100Q1002993",17,2,"btc"
"F100Q1002993",25,1,"btc"
"F100Q1002993",28,1,"btc"
"F100Q1002993",31,2,"btc"
"F100Q1002993",36,1,"btc"
"F100Q1002993",42,1,"btc"
"F100Q1002993",47,2,"btc"
"F100Q1002993",49,2,"btc"
"F100Q1002993",56,2,"btc"
"F100Q1002993",61,4,"btc"
"F100Q1002993",63,1,"btc"
"F100Q1002993",66,1,"btc"
"F100Q1002993",70,1,"btc"
"F100Q1002993",72,1,"btc"
"F100Q1002993",76,2,"btc"
"F100Q1002993",81,3,"btc"
"F100Q1002993",82,2,"btc"
"F100Q1002993",84,1,"btc"
"F100Q1002993",87,2,"btc"
"F100Q1002993",91,3,"btc"
