"loanID","HPA2Yr","currentValue","UPB","CLTV","BaseSev"
"100852554290",0.99299727797417917255547855,118105.00,109486.24,0.92702459675712289,0.91
"100857829420",0.90437939110070257611241217,347117.53,328243.74,0.94562709062835288,0.30
"100875650804",0.83909536156727167963123019,92296.44,88465.16,0.95848940652532210,0.70
"100888954253",1.04334508624093290862705049,78040.21,70557.85,0.90412173416755285,0.73
"100889457453",0.84730346502837488970948661,189400.39,170500.69,0.90021298266598078,0.76
"100893947686",0.98886686873397062252273257,421695.00,393484.97,0.93310323812233960,0.45
"100905295255",0.91856916599065167844864217,243009.88,238098.11,0.97978777652990898,0.25
"100957210024",0.89286145537174781511854905,108157.50,100591.96,0.93005071308046136,0.56
"100988979345",1.05708731145947464605645421,108076.28,98304.17,0.90958136234888913,0.66
"100994762747",1.00383364709909293171316104,140652.66,131016.98,0.93149308374260394,0.45
"101002945426",0.79751464132422198105182882,65511.81,64789.71,0.98897755992392821,0.71
"101014356666",1.10662786744265014699706005,86449.00,82965.59,0.95970560677393607,0.33
"101033002557",1.05766205950269401961112412,368532.00,334336.76,0.90721229092724648,0.31
"101042879086",1.01050517534373442486943053,134962.78,133569.36,0.98967552387406364,0.12
"101067583851",1.03435906301322499783905264,134294.25,125458.47,0.93420582042790365,0.28
"101069246945",1.27040665659144822554588566,370665.00,335034.73,0.90387473864540757,0.40
"101096208822",1.06077516233766233766233766,122974.31,112082.98,0.91143410359448245,0.45
"101099795908",0.93046582293418296604419270,82282.88,77596.91,0.94305048632230665,0.48
"101112313045",1.11339418845692257337164054,85209.01,79583.28,0.93397728714369525,0.42
"101116716226",0.89644681839294008360427310,219858.13,201819.06,0.91795131706068818,0.38
"101126267971",0.92665375034597287572654303,93217.50,86745.84,0.93057462386354493,0.37
"101143593070",0.96427107128214285714285714,76560.83,74228.90,0.96954147440669073,0.80
"101182923815",0.97062621045836023240800516,249260.00,228892.48,0.91828805263580197,0.07
"101184077893",1.07807807807807807807807807,136864.00,135785.06,0.99211669978957212,0.79
"101197969574",1.29362638962172342706140855,109193.25,102213.33,0.93607736741968940,0.54
"101255160439",0.72156753364479464472491458,143450.00,140770.94,0.98132408504705472,0.31
"101256205743",0.98735176947467451729779733,157631.25,143396.17,0.90969379485349510,0.07
"101271456219",1.05708731145947464605645421,207177.17,205820.60,0.99345212602334513,0.27
"101281488073",0.69885396983978889299133418,244943.28,233607.18,0.95371948967124144,0.53
"101283010098",0.89960177464186377485567671,225740.57,212603.09,0.94180275171627324,0.56
"101290712151",0.99523059668520919075279912,169717.75,158242.09,0.93238385495918959,0.28
"101293040386",0.96252947687569087778095492,235698.88,229990.34,0.97578036857875608,0.77
"101307691189",0.86947130220119341424079930,178421.89,171207.39,0.95956493903298524,0.28
"101312644799",0.99850039242067356205852674,222987.38,208920.90,0.93691804442027167,0.38
"101318775621",0.93040965181889077480618376,157947.00,146640.30,0.92841459476913141,0.56
"101321555854",0.93100730546545818303070720,404880.00,370451.48,0.91496611341632088,0.38
"101325907313",0.93477737830907805320467880,206494.50,196931.31,0.95368791904869136,0.38
"101337191289",0.79955841288395480225988700,152944.00,146016.95,0.95470858614917878,0.13
"101353975402",0.89232434773194760203529284,150463.76,136835.86,0.90942735978417660,0.39
"101354333160",1.05021583704303251045460677,174352.63,170697.81,0.97903776960519609,0.48
"101367360285",0.90392605527789486361172999,227694.31,223931.67,0.98347503721107479,0.21
"101377935174",1.00826915504436773314269562,152308.44,144881.76,0.95123920906812518,0.54
"101380077775",0.92394271272114574557708508,64984.00,59217.53,0.91126323402683737,0.70
"101400747596",0.96605467051934061407249208,128260.00,116784.51,0.91052947138624668,0.28
"101407056010",0.90538576787464283293920790,193916.67,184235.72,0.95007675203993550,0.45
"101409479216",0.81241273578448818682070796,416222.54,412852.61,0.99190353794871368,0.49
"101424269609",1.00125611529816210498479439,116347.33,111362.88,0.95715887936577487,0.91
"101454402169",1.27224226767939302826493840,208650.00,188353.98,0.90272695902228612,0.47
"101473290431",0.96246809788319940703948645,58912.00,53345.66,0.90551432645301466,
"101491883832",0.86191709485755181652134280,240326.63,224993.33,0.93619808175232182,0.22
"101492125196",0.82212242115604386791507107,439965.21,415326.98,0.94399959487705857,0.24
"101509093655",0.98545599221961893815481190,140630.00,132352.28,0.94113830619355756,-0.12
"101535048987",0.86944766609931928315007598,260816.36,250076.49,0.95882209996336119,0.26
"101568194269",0.94408071990516084707403815,124116.66,115281.53,0.92881592205268817,
"101583229429",0.97062621045836023240800516,129054.21,118156.15,0.91555440151855565,0.53
"101589571246",0.97181388052526377046276851,309086.31,307539.07,0.99499414904529417,0.22
